task,fraction,seed,n,subset_seed,lora_loss,unilora_loss,gap,lora_path,unilora_path
sst2,0.01,0,673,12345,0.42960128660446834,0.31045774101013585,0.11914354559433249,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.01/lora_r4_lr4e-4/seed_0/lora_sst2_roberta-large_lr0.001_seed0_p0.01.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.01/unilora_td23040/seed_0/unilora_sst2_roberta-large_lr0.001_seed0_p0.01.json
sst2,0.01,1,673,12345,0.4014822560535062,0.4393416991863757,-0.03785944313286954,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.01/lora_r4_lr4e-4/seed_1/lora_sst2_roberta-large_lr0.001_seed1_p0.01.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.01/unilora_td23040/seed_1/unilora_sst2_roberta-large_lr0.001_seed1_p0.01.json
sst2,0.01,2,673,12345,0.48183618860119687,0.36985082663263064,0.11198536196856623,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.01/lora_r4_lr4e-4/seed_2/lora_sst2_roberta-large_lr0.001_seed2_p0.01.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.01/unilora_td23040/seed_2/unilora_sst2_roberta-large_lr0.001_seed2_p0.01.json
sst2,0.01,3,673,12345,0.4800648019008804,0.36302638983137775,0.11703841206950266,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.01/lora_r4_lr4e-4/seed_3/lora_sst2_roberta-large_lr0.001_seed3_p0.01.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.01/unilora_td23040/seed_3/unilora_sst2_roberta-large_lr0.001_seed3_p0.01.json
sst2,0.01,4,673,12345,0.42988931711027234,0.4045836452236732,0.025305671886599157,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.01/lora_r4_lr4e-4/seed_4/lora_sst2_roberta-large_lr0.001_seed4_p0.01.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.01/unilora_td23040/seed_4/unilora_sst2_roberta-large_lr0.001_seed4_p0.01.json
sst2,0.02,0,1346,12345,0.3619833218700868,0.2702312422500524,0.0917520796200344,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.02/lora_r4_lr4e-4/seed_0/lora_sst2_roberta-large_lr0.001_seed0_p0.02.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.02/unilora_td23040/seed_0/unilora_sst2_roberta-large_lr0.001_seed0_p0.02.json
sst2,0.02,1,1346,12345,0.36988497932023684,0.25092760250637575,0.1189573768138611,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.02/lora_r4_lr4e-4/seed_1/lora_sst2_roberta-large_lr0.001_seed1_p0.02.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.02/unilora_td23040/seed_1/unilora_sst2_roberta-large_lr0.001_seed1_p0.02.json
sst2,0.02,2,1346,12345,0.42592489132117145,0.30578226764087696,0.12014262368029449,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.02/lora_r4_lr4e-4/seed_2/lora_sst2_roberta-large_lr0.001_seed2_p0.02.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.02/unilora_td23040/seed_2/unilora_sst2_roberta-large_lr0.001_seed2_p0.02.json
sst2,0.02,3,1346,12345,0.3676203901777626,0.2300501554688838,0.1375702347088788,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.02/lora_r4_lr4e-4/seed_3/lora_sst2_roberta-large_lr0.001_seed3_p0.02.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.02/unilora_td23040/seed_3/unilora_sst2_roberta-large_lr0.001_seed3_p0.02.json
sst2,0.02,4,1346,12345,0.27864463469346185,0.259479522987801,0.01916511170566082,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.02/lora_r4_lr4e-4/seed_4/lora_sst2_roberta-large_lr0.001_seed4_p0.02.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.02/unilora_td23040/seed_4/unilora_sst2_roberta-large_lr0.001_seed4_p0.02.json
